,inflow,outflow,precipitation,temp_max,temp_min,humidity,wind,solar
1980-01-01,5.8,0,0,4.4,-3.6,74.5,1.1,2.2
1980-01-02,4.7,103.2,8.1,3.1,1,95,1.1,0
1980-01-03,4.5,62.4,0,5.3,0.8,87.5,0.6,0
1980-01-04,2.9,66.6,0,1.8,-5.2,71.5,1.8,0.4
1980-01-05,4.9,57,0,-0.2,-9.7,51.8,2,8.8
1980-01-06,0.4,17.8,1.1,1,-9.2,71.8,3.9,0
1980-01-07,5.5,75,0,-4.3,-13.5,37.5,2.3,8.8
1980-01-08,0.9,105.2,0,-1,-9.7,76,1,0
1980-01-09,2.7,77.3,2.6,1.4,-3.4,96.3,0.6,0.7
1980-01-10,3.2,110,0,0.2,-12.2,58.3,3.6,8.1
1980-01-11,3.8,94.6,0,-3.6,-18,68.8,0.9,8.4
1980-01-12,0.1,96.6,0.3,-2.3,-9.3,83.5,0.6,2.3
1980-01-13,5,5,0.3,0.6,-9,75.5,1.3,4
1980-01-14,5,78.7,0,0,-14.4,62.8,2.7,8.7
1980-01-15,2.2,87.3,0.4,0.8,-13.3,60,2.3,6.4
1980-01-16,5.4,73.5,0.1,-1.5,-14.1,64.8,1.9,6.6
1980-01-17,3.4,36.8,0,-7.3,-16.5,45.3,3.9,8.5
1980-01-18,0.3,61.5,0,-5.5,-18.7,68.5,0.6,8.2
1980-01-19,1.2,45.7,0.2,0.4,-9.6,67.8,1.2,7.9
1980-01-20,3.9,20.6,0,-1.2,-11.2,62.8,3.3,8.1
1980-01-21,3.8,53.9,0,-2.7,-14.7,63.8,2.3,8.5
1980-01-22,0.3,50.4,0,-1.4,-16.2,62,1.2,8.7
1980-01-23,0.3,67,0.1,-0.6,-9.6,78.8,0.7,0.4
1980-01-24,0.3,100.4,0,4,-11.2,71,0.8,7.9
1980-01-25,1.6,73.9,0,2.6,-12.6,71.3,0.8,8.3
1980-01-26,2.9,58.5,0,6,-10.3,73.5,0.7,7.5
1980-01-27,0.9,33.9,0,5.8,-1.3,77.3,0.3,0.8
1980-01-28,3.4,63.3,0.2,8.3,-2.5,82.5,2.3,0.7
1980-01-29,0.6,49.6,1.9,5,-0.1,76.5,3.2,0
1980-01-30,3.8,85.5,0.3,0.4,-13,60.3,5.3,8.1
1980-01-31,0.1,103.6,0,-8,-15.6,46,4.8,9
1980-02-01,1,93.6,0,-4.2,-17.3,58.3,3.1,8.8
