,inflow(t-2),precipitation(t-2),temp_1(t-2),temp_2(t-2),humidity(t-2),wind(t-2),solar(t-2),inflow(t-1),precipitation(t-1),temp_1(t-1),temp_2(t-1),humidity(t-1),wind(t-1),solar(t-1),inflow(t),precipitation(t),temp_1(t),temp_2(t),humidity(t),wind(t),solar(t)
2,5.8,0,4.4,-3.6,74.5,1.1,2.2,4.7,8.1,3.1,1,95,1.1,0,4.5,0,5.3,0.8,87.5,0.6,0
3,4.7,8.1,3.1,1,95,1.1,0,4.5,0,5.3,0.8,87.5,0.6,0,2.9,0,1.8,-5.2,71.5,1.8,0.4
4,4.5,0,5.3,0.8,87.5,0.6,0,2.9,0,1.8,-5.2,71.5,1.8,0.4,4.9,0,-0.2,-9.7,51.8,2,8.8
5,2.9,0,1.8,-5.2,71.5,1.8,0.4,4.9,0,-0.2,-9.7,51.8,2,8.8,0.4,1.1,1,-9.2,71.8,3.9,0
6,4.9,0,-0.2,-9.7,51.8,2,8.8,0.4,1.1,1,-9.2,71.8,3.9,0,5.5,0,-4.3,-13.5,37.5,2.3,8.8
7,0.4,1.1,1,-9.2,71.8,3.9,0,5.5,0,-4.3,-13.5,37.5,2.3,8.8,0.9,0,-1,-9.7,76,1,0
8,5.5,0,-4.3,-13.5,37.5,2.3,8.8,0.9,0,-1,-9.7,76,1,0,2.7,2.6,1.4,-3.4,96.3,0.6,0.7
9,0.9,0,-1,-9.7,76,1,0,2.7,2.6,1.4,-3.4,96.3,0.6,0.7,3.2,0,0.2,-12.2,58.3,3.6,8.1
10,2.7,2.6,1.4,-3.4,96.3,0.6,0.7,3.2,0,0.2,-12.2,58.3,3.6,8.1,3.8,0,-3.6,-18,68.8,0.9,8.4
11,3.2,0,0.2,-12.2,58.3,3.6,8.1,3.8,0,-3.6,-18,68.8,0.9,8.4,0.1,0.3,-2.3,-9.3,83.5,0.6,2.3
12,3.8,0,-3.6,-18,68.8,0.9,8.4,0.1,0.3,-2.3,-9.3,83.5,0.6,2.3,5,0.3,0.6,-9,75.5,1.3,4
13,0.1,0.3,-2.3,-9.3,83.5,0.6,2.3,5,0.3,0.6,-9,75.5,1.3,4,5,0,0,-14.4,62.8,2.7,8.7
14,5,0.3,0.6,-9,75.5,1.3,4,5,0,0,-14.4,62.8,2.7,8.7,2.2,0.4,0.8,-13.3,60,2.3,6.4
15,5,0,0,-14.4,62.8,2.7,8.7,2.2,0.4,0.8,-13.3,60,2.3,6.4,5.4,0.1,-1.5,-14.1,64.8,1.9,6.6
16,2.2,0.4,0.8,-13.3,60,2.3,6.4,5.4,0.1,-1.5,-14.1,64.8,1.9,6.6,3.4,0,-7.3,-16.5,45.3,3.9,8.5
17,5.4,0.1,-1.5,-14.1,64.8,1.9,6.6,3.4,0,-7.3,-16.5,45.3,3.9,8.5,0.3,0,-5.5,-18.7,68.5,0.6,8.2
18,3.4,0,-7.3,-16.5,45.3,3.9,8.5,0.3,0,-5.5,-18.7,68.5,0.6,8.2,1.2,0.2,0.4,-9.6,67.8,1.2,7.9
19,0.3,0,-5.5,-18.7,68.5,0.6,8.2,1.2,0.2,0.4,-9.6,67.8,1.2,7.9,3.9,0,-1.2,-11.2,62.8,3.3,8.1
20,1.2,0.2,0.4,-9.6,67.8,1.2,7.9,3.9,0,-1.2,-11.2,62.8,3.3,8.1,3.8,0,-2.7,-14.7,63.8,2.3,8.5
21,3.9,0,-1.2,-11.2,62.8,3.3,8.1,3.8,0,-2.7,-14.7,63.8,2.3,8.5,0.3,0,-1.4,-16.2,62,1.2,8.7
22,3.8,0,-2.7,-14.7,63.8,2.3,8.5,0.3,0,-1.4,-16.2,62,1.2,8.7,0.3,0.1,-0.6,-9.6,78.8,0.7,0.4
23,0.3,0,-1.4,-16.2,62,1.2,8.7,0.3,0.1,-0.6,-9.6,78.8,0.7,0.4,0.3,0,4,-11.2,71,0.8,7.9
24,0.3,0.1,-0.6,-9.6,78.8,0.7,0.4,0.3,0,4,-11.2,71,0.8,7.9,1.6,0,2.6,-12.6,71.3,0.8,8.3
25,0.3,0,4,-11.2,71,0.8,7.9,1.6,0,2.6,-12.6,71.3,0.8,8.3,2.9,0,6,-10.3,73.5,0.7,7.5
26,1.6,0,2.6,-12.6,71.3,0.8,8.3,2.9,0,6,-10.3,73.5,0.7,7.5,0.9,0,5.8,-1.3,77.3,0.3,0.8
27,2.9,0,6,-10.3,73.5,0.7,7.5,0.9,0,5.8,-1.3,77.3,0.3,0.8,3.4,0.2,8.3,-2.5,82.5,2.3,0.7
28,0.9,0,5.8,-1.3,77.3,0.3,0.8,3.4,0.2,8.3,-2.5,82.5,2.3,0.7,0.6,1.9,5,-0.1,76.5,3.2,0
29,3.4,0.2,8.3,-2.5,82.5,2.3,0.7,0.6,1.9,5,-0.1,76.5,3.2,0,3.8,0.3,0.4,-13,60.3,5.3,8.1
30,0.6,1.9,5,-0.1,76.5,3.2,0,3.8,0.3,0.4,-13,60.3,5.3,8.1,0.1,0,-8,-15.6,46,4.8,9
31,3.8,0.3,0.4,-13,60.3,5.3,8.1,0.1,0,-8,-15.6,46,4.8,9,1,0,-4.2,-17.3,58.3,3.1,8.8
32,0.1,0,-8,-15.6,46,4.8,9,1,0,-4.2,-17.3,58.3,3.1,8.8,0.5,0.2,-3,-12.2,59.3,3.2,6.7
33,1,0,-4.2,-17.3,58.3,3.1,8.8,0.5,0.2,-3,-12.2,59.3,3.2,6.7,0.7,0,-2,-8.6,52.3,4.7,7.5
34,0.5,0.2,-3,-12.2,59.3,3.2,6.7,0.7,0,-2,-8.6,52.3,4.7,7.5,0.1,0,-5.5,-14.2,49,2.1,6.4
35,0.7,0,-2,-8.6,52.3,4.7,7.5,0.1,0,-5.5,-14.2,49,2.1,6.4,1.9,0,-6.2,-16,53.3,3.8,9
36,0.1,0,-5.5,-14.2,49,2.1,6.4,1.9,0,-6.2,-16,53.3,3.8,9,4.7,0,-6.6,-16.7,56.8,2.2,9
37,1.9,0,-6.2,-16,53.3,3.8,9,4.7,0,-6.6,-16.7,56.8,2.2,9,2.8,0,-5.2,-18.2,62,1.4,9.1
38,4.7,0,-6.6,-16.7,56.8,2.2,9,2.8,0,-5.2,-18.2,62,1.4,9.1,3.3,0,-5.4,-17.1,64.8,1.8,9
39,2.8,0,-5.2,-18.2,62,1.4,9.1,3.3,0,-5.4,-17.1,64.8,1.8,9,2,0,-1.3,-16.5,62.5,1.5,9
40,3.3,0,-5.4,-17.1,64.8,1.8,9,2,0,-1.3,-16.5,62.5,1.5,9,0.5,0,0.4,-14.4,76.8,1.5,6.1
41,2,0,-1.3,-16.5,62.5,1.5,9,0.5,0,0.4,-14.4,76.8,1.5,6.1,0.1,0.3,4,-8.2,66,2.3,8.1
42,0.5,0,0.4,-14.4,76.8,1.5,6.1,0.1,0.3,4,-8.2,66,2.3,8.1,0.1,0,1.7,-11.5,58.3,2.5,9.5
43,0.1,0.3,4,-8.2,66,2.3,8.1,0.1,0,1.7,-11.5,58.3,2.5,9.5,3.6,0,0.2,-12.2,47.8,2.4,9.7
44,0.1,0,1.7,-11.5,58.3,2.5,9.5,3.6,0,0.2,-12.2,47.8,2.4,9.7,0.5,0,-0.2,-15.5,58.5,2.2,10
45,3.6,0,0.2,-12.2,47.8,2.4,9.7,0.5,0,-0.2,-15.5,58.5,2.2,10,0.5,0,1.6,-11.8,56,2.8,8.3
46,0.5,0,-0.2,-15.5,58.5,2.2,10,0.5,0,1.6,-11.8,56,2.8,8.3,0.5,0,3.5,-13,58.3,1.9,9.6
47,0.5,0,1.6,-11.8,56,2.8,8.3,0.5,0,3.5,-13,58.3,1.9,9.6,2.6,0,6.6,-12.8,63.8,0.6,10
48,0.5,0,3.5,-13,58.3,1.9,9.6,2.6,0,6.6,-12.8,63.8,0.6,10,0.5,0.1,2.5,-9.1,75.5,0.7,1.5
49,2.6,0,6.6,-12.8,63.8,0.6,10,0.5,0.1,2.5,-9.1,75.5,0.7,1.5,0.2,0,6.9,-5.7,75.5,1.3,6.8
50,0.5,0.1,2.5,-9.1,75.5,0.7,1.5,0.2,0,6.9,-5.7,75.5,1.3,6.8,0.2,0,8.8,-7.8,68.3,1.1,8.9
51,0.2,0,6.9,-5.7,75.5,1.3,6.8,0.2,0,8.8,-7.8,68.3,1.1,8.9,0.2,0,7.8,-9,59.5,0.7,10.6
52,0.2,0,8.8,-7.8,68.3,1.1,8.9,0.2,0,7.8,-9,59.5,0.7,10.6,1.6,0,7.5,-8.8,61.8,1.4,9.3
53,0.2,0,7.8,-9,59.5,0.7,10.6,1.6,0,7.5,-8.8,61.8,1.4,9.3,0.5,0,9.4,-0.6,61,1.3,8
54,1.6,0,7.5,-8.8,61.8,1.4,9.3,0.5,0,9.4,-0.6,61,1.3,8,0.1,0.2,6.4,-3.8,87.8,0.7,1
55,0.5,0,9.4,-0.6,61,1.3,8,0.1,0.2,6.4,-3.8,87.8,0.7,1,0.2,0,11,-2,77.8,0.5,4.9
56,0.1,0.2,6.4,-3.8,87.8,0.7,1,0.2,0,11,-2,77.8,0.5,4.9,0.1,0.3,12.4,-0.5,68,1.4,5.5
57,0.2,0,11,-2,77.8,0.5,4.9,0.1,0.3,12.4,-0.5,68,1.4,5.5,0.1,0,8.8,-4.8,62.8,1.7,9.3
